Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U13_4_2_4	r3	6.980	6.968	6.943	7.113	7.016	6.822	Top	-76.0
U13_4_2_4	r3	1.032	3.056	1.069	2.911	0.996	3.202	Top	104.0
U13_4_2_5	r3	4.662	3.302	4.714	3.161	4.611	3.443	Top	110.0
U13_4_2_5	r3	3.349	6.723	3.298	6.864	3.401	6.582	Top	-70.0
U13_4_3	r3	4.598	2.394	4.747	2.407	4.449	2.381	Top	-175.0
U13_4_3	r3	3.414	7.630	3.265	7.617	3.563	7.643	Top	5.0
U13_5	r3	7.672	6.921	7.659	7.071	7.685	6.772	Top	-85.0
U13_5	r3	4.586	3.133	4.625	2.988	4.548	3.278	Top	105.0
U13_5	r3	0.340	3.103	0.353	2.954	0.327	3.253	Top	95.0
U13_5	r3	3.425	6.891	3.387	7.036	3.464	6.746	Top	-75.0
U13_5_1	r3	6.834	8.081	6.730	8.189	6.938	7.973	Top	-46.0
U13_5_1	r3	1.178	1.943	1.282	1.835	1.074	2.051	Top	134.0
U13_5_2	r3	4.972	2.248	4.824	2.274	5.120	2.222	Top	-10.0
U13_5_2	r3	3.040	7.776	3.188	7.750	2.892	7.802	Top	170.0
U13_6	r3	4.453	7.196	4.355	7.310	4.552	7.083	Top	-49.0
U13_6	r3	7.420	2.743	7.568	2.717	7.273	2.769	Top	170.0
U13_6	r3	3.559	2.828	3.657	2.715	3.460	2.941	Top	131.0
U13_6	r3	0.592	7.281	0.444	7.307	0.739	7.255	Top	-10.0
U13_6_1	r3	4.395	7.061	4.287	7.165	4.503	6.957	Top	-44.0
U13_6_1	r3	3.617	2.963	3.724	2.859	3.509	3.067	Top	136.0
U13_7	r3	7.241	2.640	7.386	2.601	7.096	2.679	Top	165.0
U13_7	r3	0.771	7.384	0.626	7.423	0.915	7.346	Top	-15.0
U15	r3	4.833	7.095	4.699	7.027	4.966	7.163	Top	27.0
U15	r3	6.985	3.136	7.100	3.232	6.870	3.039	Top	-140.0
U15	r3	3.179	2.929	3.313	2.997	3.046	2.861	Top	-153.0
U15	r3	1.027	6.888	0.912	6.792	1.142	6.985	Top	40.0
U15_1	r3	7.546	3.343	7.449	3.228	7.642	3.458	Top	50.0
U15_1	r3	7.445	3.440	7.541	3.555	7.348	3.325	Top	-130.0
U15_1	r3	0.466	6.681	0.563	6.796	0.370	6.566	Top	-130.0
U15_1	r3	0.567	6.585	0.471	6.470	0.664	6.699	Top	50.0
U15_1_1	r3	6.792	2.851	6.831	2.706	6.753	2.996	Top	105.0
U15_1_1	r3	1.220	7.173	1.181	7.318	1.259	7.028	Top	-75.0
U15_1_1_1	r3	6.653	3.607	6.627	3.755	6.679	3.460	Top	-80.0
U15_1_1_1	r3	1.359	6.417	1.385	6.269	1.333	6.565	Top	100.0
U15_1_2_1	r3	5.369	6.501	5.435	6.367	5.304	6.636	Top	116.0
U15_1_2_1	r3	2.643	3.523	2.577	3.658	2.708	3.388	Top	-64.0
U15_1_2_1_1	r3	5.050	7.481	5.063	7.331	5.037	7.630	Top	95.0
U15_1_2_1_1	r3	2.962	2.543	2.949	2.693	2.975	2.394	Top	-85.0
U15_1_2_1_2	r3	4.278	7.015	4.388	6.913	4.168	7.117	Top	137.0
U15_1_2_1_2	r3	3.734	3.009	3.624	3.112	3.844	2.907	Top	-43.0
U15_1_3	r3	4.323	6.648	4.307	6.498	4.338	6.797	Top	84.0
U15_1_3	r3	3.689	3.377	3.705	3.526	3.673	3.227	Top	-96.0
U15_2	r3	4.751	7.389	4.704	7.532	4.797	7.247	Top	-72.0
U15_2	r3	7.560	3.093	7.710	3.093	7.410	3.093	Top	180.0
U15_2	r3	3.261	2.635	3.307	2.492	3.215	2.777	Top	108.0
U15_2	r3	0.452	6.931	0.302	6.931	0.602	6.931	Top	0.0
U16	do3	6.567	7.641	6.644	7.770	6.644	7.770	Top	-121.0
U16	do3	5.319	2.403	5.394	2.532	5.394	2.532	Top	-120.0
U16	do3	1.445	2.383	1.368	2.255	1.368	2.255	Top	59.0
U16	do3	2.693	7.622	2.618	7.492	2.618	7.492	Top	60.0
U16_1	do3	6.421	6.435	6.273	6.461	6.273	6.461	Top	-10.0
U16_1	do3	5.570	3.922	5.720	3.935	5.720	3.935	Top	-175.0
U16_1	do3	1.591	3.590	1.739	3.563	1.739	3.563	Top	170.0
U16_1	do3	2.442	6.102	2.292	6.089	2.292	6.089	Top	5.0
U16_1_1	do3	5.570	6.038	5.420	6.040	5.420	6.040	Top	-1.0
U16_1_1	do3	6.399	4.150	6.549	4.150	6.549	4.150	Top	-180.0
U16_1_1	do3	2.442	3.986	2.592	3.984	2.592	3.984	Top	179.0
U16_1_1	do3	1.613	5.875	1.463	5.875	1.463	5.875	Top	0.0
U16_3	do3	6.265	7.659	6.298	7.805	6.298	7.805	Top	-103.0
U16_3	do3	5.735	2.486	5.821	2.609	5.821	2.609	Top	-125.0
U16_3	do3	1.747	2.366	1.713	2.219	1.713	2.219	Top	77.0
U16_3	do3	2.277	7.538	2.191	7.415	2.191	7.415	Top	55.0
U16_4	do3	5.721	7.713	5.736	7.862	5.736	7.862	Top	-96.0
U16_4	do3	6.402	2.475	6.428	2.623	6.428	2.623	Top	-100.0
U16_4	do3	2.291	2.312	2.275	2.162	2.275	2.162	Top	84.0
U16_4	do3	1.610	7.549	1.584	7.401	1.584	7.401	Top	80.0
U16_5	do3	5.484	7.568	5.505	7.717	5.505	7.717	Top	-98.0
U16_5	do3	6.663	2.477	6.624	2.622	6.624	2.622	Top	-75.0
U16_5	do3	2.528	2.456	2.507	2.307	2.507	2.307	Top	82.0
U16_5	do3	1.349	7.547	1.387	7.402	1.387	7.402	Top	105.0
U1_1	dip14	4.220	4.726	4.182	5.059	4.182	5.059	Top	-110.0
U2	dip16	5.934	6.936	6.084	6.586	6.084	6.586	Top	90.0
U2	dip16	5.944	3.227	5.794	3.577	5.794	3.577	Top	-90.0
U2	dip16	2.078	3.088	1.928	3.438	1.928	3.438	Top	-90.0
U2	dip16	2.068	6.797	2.218	6.447	2.218	6.447	Top	90.0
U20	thumbpot	7.500	9.636	7.795	9.795	7.795	9.795	Top	180.0
U20_1	thumbpot	0.600	9.636	0.895	9.795	0.895	9.795	Top	180.0
U20_1_1	thumbpot	7.500	0.364	7.205	0.205	7.205	0.205	Top	0.0
U20_2	thumbpot	0.500	0.364	0.205	0.205	0.205	0.205	Top	0.0
U21	qnpn	6.073	9.007	6.073	9.007	6.073	9.007	Top	90.0
U21	qnpn	5.715	1.216	5.715	1.216	5.715	1.216	Top	-90.0
U21	qnpn	1.939	1.018	1.939	1.018	1.939	1.018	Top	-90.0
U21	qnpn	2.297	8.808	2.297	8.808	2.297	8.808	Top	90.0
U21_1	qnpn	5.180	7.906	5.180	7.906	5.180	7.906	Top	118.0
U21_1	qnpn	6.856	2.357	6.856	2.357	6.856	2.357	Top	-75.0
U21_1	qnpn	2.832	2.118	2.832	2.118	2.832	2.118	Top	-62.0
U21_1	qnpn	1.156	7.667	1.156	7.667	1.156	7.667	Top	105.0
U21_2	qnpn	4.789	7.740	4.789	7.740	4.789	7.740	Top	114.0
U21_2	qnpn	7.104	2.417	7.104	2.417	7.104	2.417	Top	-80.0
U21_2	qnpn	3.222	2.285	3.222	2.285	3.222	2.285	Top	-66.0
U21_2	qnpn	0.908	7.607	0.908	7.607	0.908	7.607	Top	100.0
U21_3	qnpn	4.928	8.064	4.928	8.064	4.928	8.064	Top	120.0
U21_3	qnpn	6.835	2.008	6.835	2.008	6.835	2.008	Top	-60.0
U21_3	qnpn	3.084	1.960	3.084	1.960	3.084	1.960	Top	-60.0
U21_3	qnpn	1.177	8.017	1.177	8.017	1.177	8.017	Top	120.0
U21_4	qnpn	4.549	7.993	4.549	7.993	4.549	7.993	Top	140.0
U21_4	qnpn	7.201	2.121	7.201	2.121	7.201	2.121	Top	-40.0
U21_4	qnpn	3.463	2.031	3.463	2.031	3.463	2.031	Top	-40.0
U21_4	qnpn	0.811	7.903	0.811	7.903	0.811	7.903	Top	140.0
U3	dip8	6.015	6.007	5.878	5.844	5.878	5.844	Top	5.0
U3	dip8	5.829	4.175	5.979	4.325	5.979	4.325	Top	180.0
U3	dip8	1.997	4.018	2.134	4.180	2.134	4.180	Top	-175.0
U3	dip8	2.183	5.849	2.033	5.699	2.033	5.699	Top	0.0
U31	r3	2.641	5.049	2.494	5.023	2.789	5.075	Top	10.0
U31_1	r3	5.763	4.852	5.913	4.852	5.613	4.852	Top	180.0
U31_1	r3	2.249	5.173	2.099	5.173	2.399	5.173	Top	0.0
U31_2	r3	5.703	5.135	5.716	4.986	5.690	5.285	Top	95.0
U31_2	r3	2.309	4.889	2.295	5.038	2.322	4.740	Top	-85.0
U31_3	r3	6.161	5.393	6.311	5.393	6.011	5.393	Top	180.0
U31_3	r3	1.851	4.631	1.701	4.631	2.001	4.631	Top	0.0
U31_4	r3	6.531	5.708	6.384	5.734	6.679	5.682	Top	-10.0
U31_4	r3	1.480	4.317	1.628	4.290	1.333	4.343	Top	170.0
U31_4_1_1	r3	6.814	5.813	6.962	5.787	6.667	5.840	Top	170.0
U31_4_1_1	r3	1.198	4.211	1.050	4.237	1.345	4.185	Top	-10.0
U4	r3	5.614	6.659	5.689	6.529	5.539	6.789	Top	120.0
U4	r3	6.029	3.733	6.179	3.733	5.880	3.733	Top	-180.0
U4	r3	2.398	3.366	2.323	3.495	2.473	3.236	Top	-60.0
U4	r3	1.982	6.291	1.832	6.291	2.132	6.291	Top	0.0
U46	cpoly102	6.024	5.638	6.024	5.563	6.024	5.713	Top	90.0
U46	cpoly102	1.988	4.386	1.988	4.461	1.988	4.311	Top	-90.0
U46_1	cpoly102	5.905	4.587	5.905	4.512	5.905	4.662	Top	90.0
U46_1	cpoly102	2.107	5.438	2.107	5.513	2.107	5.363	Top	-90.0
U46_1_1	cpoly102	5.641	3.804	5.711	3.830	5.570	3.779	Top	-160.0
U46_1_1	cpoly102	2.371	6.220	2.301	6.194	2.442	6.246	Top	20.0
U48	cpoly102	6.225	6.353	6.150	6.362	6.299	6.344	Top	-7.0
U48	cpoly102	1.787	3.671	1.862	3.662	1.713	3.680	Top	173.0
U4_1	r3	5.272	7.011	5.353	6.885	5.190	7.137	Top	123.0
U4_1	r3	5.628	3.363	5.703	3.493	5.553	3.233	Top	-120.0
U4_1	r3	2.740	3.013	2.658	3.139	2.822	2.887	Top	-57.0
U4_1	r3	2.384	6.661	2.309	6.531	2.459	6.791	Top	60.0
U4_2	r3	5.165	7.472	5.149	7.621	5.181	7.323	Top	-84.0
U4_2	r3	5.510	3.481	5.380	3.406	5.640	3.556	Top	30.0
U4_2	r3	2.847	2.552	2.862	2.403	2.831	2.701	Top	96.0
U4_2	r3	2.502	6.543	2.632	6.618	2.372	6.468	Top	-150.0
U4_3	r3	5.779	6.395	5.929	6.403	5.629	6.387	Top	-177.0
U4_3	r3	2.220	3.627	2.071	3.642	2.369	3.611	Top	-6.0
U4_3_1	r3	6.161	4.008	6.225	3.872	6.098	4.144	Top	115.0
U4_3_1	r3	1.851	6.016	1.787	6.152	1.914	5.880	Top	-65.0
U51	wobelisk	3.899	6.237	3.925	6.384	3.925	6.384	Top	-100.0
U52	do3	3.770	5.695	3.744	5.547	3.744	5.547	Top	80.0
U53	cpoly104	3.989	5.799	3.886	5.690	4.091	5.909	Top	47.0
U53_1	cpoly104	3.629	4.529	3.488	4.580	3.770	4.478	Top	-20.0
U53_1_3	cpoly104	4.852	4.903	5.000	4.877	4.705	4.929	Top	170.0
U58	wgrowth	3.310	4.901	3.235	5.031	3.235	5.031	Top	-150.0
U58_1	wgrowth	5.332	4.790	5.480	4.764	5.480	4.764	Top	80.0
